Fold.IL.6.HSA	Fold.IL.6.UL	Fold.IL.6.Naive	Fold.IL.6.Nickel	Fold.Naive.Nickel	Fold HSA/Naive
16.89	11.02	12.29	-0.49	-0.961734127	-0.257431273
16.88	16.02	13.55	1.04	-0.859501926	-0.186669357
16.87	17.59	10.99	0.37	-0.885337507	-0.329016336
16.84	16.18	10.46	0.12	-0.902034412	-0.357637846
16.82	16.93	13.04	-0.07	-0.933975358	-0.211958373
16.81	13.92	14.29	-0.27	-0.952151018	-0.141496548
16.79	15.81	17.24	0.05	-0.942350554	0.02557477
16.77	10.73	18.47	-0.7	-0.984736355	0.095522296
16.76	14.66	11.16	0.81	-0.85115593	-0.315374028
16.75	10.76	15.93	-0.24	-0.955150464	-0.046194108
16.75	14.05	16.69	-0.19	-0.954484614	-0.003322439
16.74	10.83	13.69	-0.18	-0.944381948	-0.172114816
16.73	9.52	13.15	-0.31	-0.951066723	-0.201683836
16.73	17.07	11.36	0.3	-0.89468	-0.302879083
16.71	11.01	11.3	0.91	-0.844992096	-0.305749411
16.66	13.04	13.94	0.63	-0.89124966	-0.153583385
16.65	13.16	11.59	-0.48	-0.958324975	-0.286439656
16.64	8.36	12.17	-0.38	-0.952900906	-0.253452935
16.63	13.88	13.01	1.35	-0.832251708	-0.205228066
16.62	11.87	10.22	0.99	-0.822915974	-0.363299499
16.62	13.77	9.54	0.03	-0.902082779	-0.401679346
16.61	14.56	10.46	0.47	-0.87168563	-0.349321537
16.61	11.52	11.14	0.22	-0.899249104	-0.310467476
16.6	7.5	16.4	-0.25	-0.957109259	-0.01119679
16.6	16.23	14.33	-0.05	-0.938216071	-0.129116244
16.59	13.53	18.83	-0.15	-0.957227858	0.127075262
16.57	18.13	13.48	0.11	-0.923431284	-0.175896322
16.57	10.9	16	-0.47	-0.968884018	-0.032244011
16.56	15.62	15.68	-0.06	-0.94344879	-0.050057396
16.55	14.08	11.35	0.83	-0.85153817	-0.296320577
16.53	13.28	15.59	0.53	-0.907822988	-0.053556575
16.52	11.44	12.05	0.1	-0.91597143	-0.254994756
16.5	14.96	13.42	1.22	-0.846079565	-0.175927595
16.48	14.19	14.48	-0.38	-0.960092948	-0.114123867
16.46	11.28	12.03	-0.5	-0.961466728	-0.253721152
16.45	13.89	15.18	-0.21	-0.951156267	-0.072816987
16.43	7.15	13.24	-0.02	-0.931224808	-0.1826404
16.41	9.43	12.16	-0.26	-0.943793802	-0.244373524
16.38	12.51	15.33	0.08	-0.934066752	-0.060399718
16.34	7.6	14.06	-0.18	-0.945412746	-0.131761286
16.34	14.19	12.52	-0.36	-0.952523314	-0.22015882
16.33	11.26	12.54	0.37	-0.898973477	-0.218764511
16.33	13.72	10.59	2.32	-0.713900009	-0.331228357
16.33	10.26	9.09	0.16	-0.88475277	-0.417541495
16.33	10.57	11.9	0.4	-0.891343174	-0.255808826
16.32	17.65	13.1	1.58	-0.816890261	-0.186014127
16.32	15.54	13.79	0.25	-0.915588194	-0.146162203
16.3	17.2	12.62	-0.58	-0.969296074	-0.212667996
16.29	15.89	12.2	-0.4	-0.954516002	-0.236218601
16.28	12.45	14.92	-0.57	-0.972943305	-0.079090323
16.26	24.31	14.54	-0.01	-0.936120592	-0.099556815
16.25	19.05	13.97	-0.05	-0.93647339	-0.132456195
16.24	11.93	15	-0.44	-0.965247445	-0.071862581
16.24	13.92	12.12	1.76	-0.789348768	-0.23925903
16.23	15.77	15.9	0.67	-0.901413871	-0.019313761
16.21	8.72	13.78	0.24	-0.915853561	-0.141659451
16.18	16.52	13.95	0.83	-0.877481408	-0.130208895
16.18	8.9	11.92	-0.23	-0.940195272	-0.248021028
16.16	10.02	13.11	0.59	-0.887342519	-0.178112159
16.15	11.57	10.38	1.05	-0.819470774	-0.33634615
16.15	14.25	13.31	0	-0.930203476	-0.16550845
16.14	13	12.35	-0.29	-0.94646096	-0.221173067
16.14	14.11	14.1	0.6	-0.894315818	-0.119349693
16.13	16.53	13.99	1.51	-0.832610909	-0.125250734
16.12	13.5	9.39	0.37	-0.868044866	-0.393078434
16.11	12.96	10.26	-0.44	-0.950099221	-0.341544312
16.1	11.75	11.8	0.29	-0.899429499	-0.251697838
16.06	9.1	13.75	-0.26	-0.950173208	-0.135332647
16.05	8.87	10.9	-0.13	-0.926667215	-0.301865992
16.05	19.69	11.74	1.73	-0.785584541	-0.252446303
16.04	19.82	14.72	0.63	-0.896300865	-0.077232184
16.03	23.11	14.62	0.01	-0.935622832	-0.082583478
16.02	9.64	15	0.43	-0.910635983	-0.059585053
15.99	17.22	13.36	0.28	-0.911008141	-0.1547942
15.99	12.98	15.74	0.79	-0.893312262	-0.014449598
15.98	15.7	12.32	1.14	-0.839271485	-0.216020057
